,pred,sd,CI95up,CI95low,CI50up,CI50low
1,5.678453587,0.374937816,6.413318203,4.943588972,5.931345301,5.425561873
2,9.797188226,0.450824619,10.68078824,8.91358821,10.10126481,9.493111642
3,5.666497887,0.356033168,6.364310074,4.968685701,5.90663861,5.426357165
4,7.182241861,0.955524343,9.05503516,5.309448562,7.826733237,6.537750485
5,22.23824574,0.855293695,23.91459057,20.5619009,22.81513257,21.6613589
6,60.59348848,1.390871493,63.31954651,57.86743044,61.53161704,59.65535991
7,9.673921588,0.500985452,10.65583503,8.692008146,10.01183114,9.336012036
8,92.16894465,2.713766082,97.48782843,86.85006087,93.99935206,90.33853724
9,20.77033209,1.043054682,22.8146817,18.72598248,21.47386178,20.0668024
10,47.38771717,3.226856846,53.71224038,41.06319397,49.56419904,45.21123531
11,9.443924594,0.353858796,10.13747509,8.750374097,9.682598725,9.205250462
12,40.64435213,0.913893393,42.43555027,38.853154,41.26076386,40.02794041
13,29.33690786,0.461537871,30.24150547,28.43231026,29.64821043,29.0256053
14,5.079538216,0.179124958,5.430616683,4.72845975,5.200356165,4.958720268
15,6.928881585,0.257983256,7.434519475,6.423243694,7.102888647,6.754874523
16,5.122687616,0.175825139,5.467298556,4.778076676,5.24127987,5.004095362
17,5.257824111,0.214123584,5.677498625,4.838149597,5.402248274,5.113399948
18,12.68320892,0.525411684,13.7129969,11.65342095,13.03759372,12.32882413
19,37.99742053,1.304298081,40.5537978,35.44104327,38.87715622,37.11768485
20,7.127456326,0.2249092,7.568270258,6.686642394,7.279155276,6.975757376
21,75.68526244,2.770519726,81.11538133,70.25514356,77.5539496,73.81657529
22,12.46960534,0.57545463,13.59747569,11.34173499,12.85774359,12.08146709
23,43.19895148,1.098325819,45.35163053,41.04627244,43.93976099,42.45814198
24,7.826961491,0.382705729,8.577050937,7.076872045,8.085092583,7.568830399
25,38.02804173,0.620808541,39.24480411,36.81127935,38.44677073,37.60931273
26,26.57816628,0.369699343,27.30276368,25.85356888,26.8275247,26.32880786
27,4.509533522,0.063784783,4.6345494,4.384517645,4.552555705,4.46651134
28,6.279823374,0.136509555,6.547377185,6.012269564,6.37189767,6.187749079
29,3.35235289,0.074320528,3.498018449,3.206687331,3.402481325,3.302224456
30,5.023707562,0.108701355,5.236758303,4.810656822,5.097025512,4.950389613
31,7.248148848,0.282223975,7.801297676,6.695000021,7.438506027,7.05779167
32,17.70912793,0.334869716,18.36546051,17.05279535,17.93499412,17.48326174
33,5.439512979,0.116065362,5.666996907,5.21202905,5.517797875,5.361228082
34,36.25638428,0.410266722,37.06049228,35.45227628,36.53310498,35.97966358
35,9.793783444,0.232834935,10.25013153,9.337435356,9.950828221,9.636738666
36,28.75677284,0.405095469,29.55074537,27.96280031,29.03000558,28.4835401
37,5.083869921,0.097303002,5.274580299,4.893159542,5.149499798,5.018240043
38,23.65300866,0.228021526,24.09992263,23.20609468,23.80680684,23.49921047
39,21.2843886,0.274505613,21.82240971,20.74636748,21.46953982,21.09923738
40,3.950453744,0.042641756,4.034030051,3.866877437,3.979215172,3.921692316
41,5.10065575,0.068367982,5.234654532,4.966656968,5.146769253,5.054542247
42,2.987657517,0.036117313,3.058446148,2.916868885,3.012018274,2.963296759
43,4.116615757,0.06839138,4.250660398,3.982571115,4.162745041,4.070486472
44,4.934028274,0.177745439,5.282402932,4.585653616,5.053915751,4.814140798
45,12.55331323,0.207357502,12.95972647,12.1469,12.69317374,12.41345272
46,4.363063268,0.092037069,4.54345261,4.182673927,4.425141328,4.300985208
47,21.20922644,0.191320238,21.58420721,20.83424566,21.33826998,21.0801829
48,8.984066146,0.141236871,9.260885326,8.707246967,9.079328968,8.888803325
49,18.66261306,0.224516855,19.10265801,18.2225681,18.81404737,18.51117874
50,4.92480721,0.067736705,5.057568711,4.792045708,4.970494923,4.879119497
51,12.62054014,0.128264338,12.87193362,12.36914666,12.70705312,12.53402716
52,14.98117772,0.1934508,15.36033432,14.60202112,15.1116583,14.85069714
