"","int.events","event.dates","event.durs","event.int","peak.data.mean","peak.data.sd","peak.data.max","peak.data.min","peak.data.range","peak.data.per.range"
"X1",1,2012-04-25,13.5,1.92127727272727,6.39675,0.3505618959002,7.128,5.924,1.204,18.8220580763669
"X2",2,2012-04-26,17.75,1.13691319444444,6.59775,0.290545177210017,7.11,6.336,0.774,11.7312720245538
"X3",3,2012-05-09,14,1.56048245614035,6.20025,0.372226409595021,6.77,5.572,1.198,19.3218015402605
"X4",4,2012-06-22,17,2.17299275362319,7.193,0.969357371811714,9.084,6.046,3.038,42.2355067426665
"X5",5,2012-07-06,7,3.52738793103448,15.992,1.47531304184182,17.468,13.398,4.07,25.4502251125563
"X6",6,2012-07-06,3.5,2.87235,5.4485,0.570057390594516,6.448,4.752,1.696,31.1278333486281
"X7",7,2012-07-07,2,5.52052777777778,39.6385,1.03504299427608,41.51,38.192,3.318,8.37064974708932
"X8",8,2012-07-19,5.5,2.51391304347826,11.7475,1.12644358174617,12.896,9.876,3.02,25.7075973611407
"X9",9,2012-08-05,1.25,13.565,67.14275,5.35840785921661,73.844,59.896,13.948,20.7736501707183
"X10",10,2012-08-15,4.75,3.7089375,28.899,1.80678941772416,30.626,24.886,5.74,19.8622789715907
"X11",11,2013-05-14,13,1.58991509433962,5.18925,0.350957771167497,5.572,4.764,0.808,15.5706508647685
"X12",12,2013-07-23,2.25,4.77685,24.633,1.08383973512165,26.796,23.476,3.32,13.47785491008
"X13",13,2013-07-27,9.5,3.6889358974359,23.77875,0.894474426688656,24.676,22.232,2.444,10.2780844241182
