"","np","dist","gamma","dir.hor","dir.ver","id","ts"
"1",1204,21.0950231097293,0.914870028757814,0,0,"var1","30 min"
"2",1204,48.270073544589,0.892418324765968,0,0,"var1","30 min"
"3",6020,80.5350277676235,1.08288963677118,0,0,"var1","30 min"
"4",9632,118.478362504794,1.01218674735952,0,0,"var1","30 min"
"5",1204,157.537297171181,0.973120384528774,0,0,"var1","30 min"
"6",4816,214.332932938372,1.20808533773819,0,0,"var1","30 min"
"7",3612,282.4930345151,1.42110365984948,0,0,"var1","30 min"
"8",2408,313.598261814335,1.30149778745229,0,0,"var1","30 min"
"9",3612,372.731680381363,1.31207072532261,0,0,"var1","30 min"
"10",706,21.0950231097287,0.747905033655901,0,0,"var1","60 min"
"11",706,48.2700735445879,0.856021750322593,0,0,"var1","60 min"
"12",3530,80.5350277676227,1.0492005805521,0,0,"var1","60 min"
"13",5648,118.47836250479,0.948479594106061,0,0,"var1","60 min"
"14",706,157.537297171177,0.851131358829623,0,0,"var1","60 min"
"15",2824,214.332932938362,1.25378967210293,0,0,"var1","60 min"
"16",2118,282.493034515099,1.51947142712478,0,0,"var1","60 min"
"17",1412,313.598261814337,1.37741214619288,0,0,"var1","60 min"
"18",2118,372.731680381347,1.44271311466584,0,0,"var1","60 min"
"19",412,21.0950231097288,0.614213222089176,0,0,"var1","120min"
"20",412,48.2700735445884,0.648951019775743,0,0,"var1","120min"
"21",2060,80.5350277676213,0.988800479852263,0,0,"var1","120min"
"22",3296,118.478362504788,0.89066681736257,0,0,"var1","120min"
"23",412,157.537297171177,0.826084104669924,0,0,"var1","120min"
"24",1648,214.33293293836,1.34013881185055,0,0,"var1","120min"
"25",1236,282.493034515095,1.58774462965666,0,0,"var1","120min"
"26",824,313.59826181434,1.48308255340084,0,0,"var1","120min"
"27",1236,372.731680381349,1.57014258942343,0,0,"var1","120min"
