"","X","X1","X2","X3","X4","X5","X6","X7","X8","mean"
"3","2012-04-12 17:20:00",6.714,7.566,8.44,8.318,7.94,8.06,8.04,7.714,7.849
"12","2012-04-18 12:30:00",4.346,3.98,4.42,4.358,3.97,4.03,4.02,4.06,4.148
"9","2012-04-25 13:30:00",4.74,5.178,5.628,5.544,5.16,5.642,5.628,5.278,5.34975
"4","2012-04-26 16:10:00",7.11,6.77,6.432,6.336,6.352,6.448,6.432,6.902,6.59775
"10","2012-05-07 23:35:00",4.74,4.776,5.628,5.146,5.174,5.642,4.824,4.872,5.10025
"34","2012-05-10 01:10:00",3.16,3.98,4.02,3.96,3.98,4.03,3.616,3.654,3.8
"22","2012-06-15 04:45:00",5.134,5.572,4.824,4.752,4.764,5.642,4.824,4.872,5.048
"40","2012-06-22 22:50:00",11.06,8.756,9.248,8.712,9.132,8.06,8.844,8.12,8.9915
"31","2012-06-30 18:35:00",6.32,7.96,7.636,7.526,7.146,7.656,7.64,6.496,7.2975
"41","2012-07-05 19:35:00",13.826,15.92,15.276,15.84,15.086,15.718,16.08,15.022,15.346
"101","2012-07-06 10:10:00",14.22,16.33,17.288,17.03,17.468,15.718,16.484,13.398,15.992
"121","2012-07-06 17:40:00",5.136,5.966,5.228,4.752,5.558,6.448,5.628,4.872,5.4485
"2","2012-07-07 19:30:00",44.439,39.39,32.556,33.258,30.963,41.709,36.78,43.239,37.79175
"5","2012-07-19 04:15:00",9.086,9.954,10.856,10.296,11.116,10.478,10.452,8.932,10.14625
"51","2012-08-15 17:00:00",18.564,21.886,23.72,19.784,20.64,16.528,21.708,18.27,20.1375
"24","2013-05-15 02:50:00",4.8,5.17,4.824,4.752,5.558,5.164,5.572,4.872,5.089
"32","2013-07-23 07:00:00",15.878,14.73,16.08,15.446,15.084,14.692,15.92,17.458,15.661
"30","2013-07-28 04:45:00",21.44,22.288,20.904,21.782,22.232,20.644,21.088,21.112,21.43625
"33","2013-07-29 18:20:00",11.912,12.736,12.06,11.88,11.514,11.51,11.144,12.18,11.867
